Particulars,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Lower Secondary School,Andaman and Nicobar Islands,Total,11208,11232,11382,12314,12483,13083,13175,12809,12699,13537
Lower Secondary School,Andaman and Nicobar Islands,Boy,NA,NA,NA,NA,NA,6877,6882,6683,6587,7121
Lower Secondary School,Andaman and Nicobar Islands,Girl,NA,NA,NA,NA,NA,6206,6293,6126,6112,6416
Lower Secondary School,Andhra Pradesh,Total,1355406,1463352,1596861,1768327,1903449,1982846,2038141,2136926,2171400,2138922
Lower Secondary School,Andhra Pradesh,Boy,NA,NA,NA,NA,NA,1046190,1063713,1100848,1111874,1086560
Lower Secondary School,Andhra Pradesh,Girl,NA,NA,NA,NA,NA,936656,974428,1036078,1059526,1052362
Lower Secondary School,Arunachal Pradesh,Total,23391,24715,25833,27343,28605,32084,32819,33884,34511,36590
Lower Secondary School,Arunachal Pradesh,Boy,NA,NA,NA,NA,NA,17755,17659,18172,18484,19527
Lower Secondary School,Arunachal Pradesh,Girl,NA,NA,NA,NA,NA,14329,15160,15712,16027,17063
Lower Secondary School,Assam,Total,592647,497500,621025,624501,636733,639248,580329,599312,656482,660241
Lower Secondary School,Assam,Boy,NA,NA,NA,NA,NA,357695,312853,326747,352415,353487
Lower Secondary School,Assam,Girl,NA,NA,NA,NA,NA,281553,267476,272565,304067,306754
Lower Secondary School,Bihar,Total,846095,777856,845835,928831,973017,1086255,1264591,1476006,1682207,2048090
Lower Secondary School,Bihar,Boy,NA,NA,NA,NA,NA,721816,813240,907998,998290,1181000
Lower Secondary School,Bihar,Girl,NA,NA,NA,NA,NA,364439,451351,568008,683917,867090
Lower Secondary School,Chandigarh,Total,22336,24207,23540,22427,22958,24435,25094,25345,26636,29389
Lower Secondary School,Chandigarh,Boy,NA,NA,NA,NA,NA,13114,13925,14096,14690,15951
Lower Secondary School,Chandigarh,Girl,NA,NA,NA,NA,NA,11321,11169,11249,11946,13438
Lower Secondary School,Chhattisgarh,Total,343967,371441,396228,420855,381246,442929,459041,713641,537011,648775
Lower Secondary School,Chhattisgarh,Boy,NA,NA,NA,NA,NA,251814,260414,389330,294062,341226
Lower Secondary School,Chhattisgarh,Girl,NA,NA,NA,NA,NA,191115,198627,324311,242949,307549
Lower Secondary School,Dadra and Nagar Haveli,Total,3373,3797,4293,5394,5446,5134,6105,5003,6748,8373
Lower Secondary School,Dadra and Nagar Haveli,Boy,NA,NA,NA,NA,NA,3114,3650,3036,3950,4880
Lower Secondary School,Dadra and Nagar Haveli,Girl,NA,NA,NA,NA,NA,2020,2455,1967,2798,3493
Lower Secondary School,Daman and Diu,Total,3444,3507,3735,4493,4336,4193,4766,4709,4880,5078
Lower Secondary School,Daman and Diu,Boy,NA,NA,NA,NA,NA,2169,2374,2444,2513,2706
Lower Secondary School,Daman and Diu,Girl,NA,NA,NA,NA,NA,2024,2392,2265,2367,2372
Lower Secondary School,Delhi,Total,354714,351350,389967,410271,409455,437817,449400,478284,517064,633842
Lower Secondary School,Delhi,Boy,NA,NA,NA,NA,NA,234084,239817,257972,278930,340904
Lower Secondary School,Delhi,Girl,NA,NA,NA,NA,NA,203733,209583,220312,238134,292938
Lower Secondary School,Goa,Total,38724,38531,37642,38046,37543,38078,37798,37760,36976,34332
Lower Secondary School,Goa,Boy,NA,NA,NA,NA,NA,19255,19207,19219,19033,17907
Lower Secondary School,Goa,Girl,NA,NA,NA,NA,NA,18823,18591,18541,17943,16425
Lower Secondary School,Gujarat,Total,1105532,1093789,1167651,1226501,1191739,1226121,1290763,1311247,1359732,1451683
Lower Secondary School,Gujarat,Boy,NA,NA,NA,NA,NA,726349,766946,795118,804921,850537
Lower Secondary School,Gujarat,Girl,NA,NA,NA,NA,NA,499772,523817,516129,554811,601146
Lower Secondary School,Haryana,Total,527646,553236,540992,539421,541057,589390,625381,618179,674132,674132
Lower Secondary School,Haryana,Boy,NA,NA,NA,NA,NA,315282,341742,306143,335644,335644
Lower Secondary School,Haryana,Girl,NA,NA,NA,NA,NA,274108,283639,312036,338488,338488
Lower Secondary School,Himachal Pradesh,Total,217760,222975,222961,350717,350717,248786,249283,251525,223225,251959
Lower Secondary School,Himachal Pradesh,Boy,NA,NA,NA,NA,NA,131165,131428,132610,111879,132339
Lower Secondary School,Himachal Pradesh,Girl,NA,NA,NA,NA,NA,117621,117855,118915,111346,119620
Lower Secondary School,Jammu and Kashmir,Total,230221,215311,198913,216161,219208,219208,219208,320689,321009,321009
Lower Secondary School,Jammu and Kashmir,Boy,NA,NA,NA,NA,NA,124314,124314,175264,172248,172248
Lower Secondary School,Jammu and Kashmir,Girl,NA,NA,NA,NA,NA,94894,94894,145425,148761,148761
Lower Secondary School,Jharkhand,Total,313339,287932,329731,350135,372540,365202,419115,419115,495724,671328
Lower Secondary School,Jharkhand,Boy,NA,NA,NA,NA,NA,220609,248056,248056,267635,358751
Lower Secondary School,Jharkhand,Girl,NA,NA,NA,NA,NA,144593,171059,171059,228089,312577
Lower Secondary School,Karnataka,Total,1263117,1265117,1284137,1356575,1315875,1516442,1552447,1557709,1629891,1647351
Lower Secondary School,Karnataka,Boy,NA,NA,NA,NA,NA,797526,808755,810049,845972,851421
Lower Secondary School,Karnataka,Girl,NA,NA,NA,NA,NA,718916,743692,747660,783919,795930
Lower Secondary School,Kerala,Total,1056441,1040489,1065738,1057664,1045855,1029690,1018355,1007419,1036266,1053789
Lower Secondary School,Kerala,Boy,NA,NA,NA,NA,NA,522215,514873,510399,526644,535480
Lower Secondary School,Kerala,Girl,NA,NA,NA,NA,NA,507475,503482,497020,509622,518309
Lower Secondary School,Lakshadweep,Total,2336,2555,2594,2949,2705,2491,2491,2645,2514,2291
Lower Secondary School,Lakshadweep,Boy,NA,NA,NA,NA,NA,1313,1313,1333,1270,1135
Lower Secondary School,Lakshadweep,Girl,NA,NA,NA,NA,NA,1178,1178,1312,1244,1156
